CellID	CD45	CD20	CD19	CD8a	CD56	CD123	CD38	Vimentin	CD14	CD68	CD45_RA	CD31	CD66b	CD3	CD25	CD45_RO	HLA_DR	CD8_CK18	CD4	DNA1	DNA2	CD16	x	y	column_centroid	row_centroid	Area	MajorAxisLength	MinorAxisLength	Eccentricity	Solidity	Extent	Orientation
37	0.517241379	0.0	0.051724138	0.017241379	0.0	0.0	0.068965517	0.586206897	0.0	0.0	0.155172414	0.137931034	0.017241379	0.051724138	0.034482759	0.275862069	0.034482759	0.017241379	0.0	4.827586207	9.25862069	0.810344828	715.2155126727332	403.79441948709695	180.7068966	42.01724138	58	12.8365578	5.93487858	0.886701733	0.892307692	0.604166667	1.119580787
38	2.195488722	0.045112782	0.0	0.015037594	0.015037594	0.0	0.015037594	0.135338346	0.315789474	0.105263158	0.120300752	0.127819549	0.060150376	0.007518797	0.022556391	4.887218045	0.187969925	0.0	0.060150376	6.210526316	10.78947368	0.77443609	777.9536003125072	344.52951836731063	327.7067669	43.2556391	133	13.44988744	12.64504571	0.340733384	0.97080292	0.678571429	-1.01779978
39	2.2	0.051851852	0.007407407	0.014814815	0.037037037	0.081481481	0.066666667	0.074074074	0.081481481	0.088888889	0.222222222	0.207407407	0.088888889	0.051851852	0.007407407	4.118518519	0.17037037	0.014814815	0.037037037	5.77037037	10.34814815	0.777777778	797.656926805781	325.9349620251354	373.8518519	43.66666667	135	13.40021469	12.89938724	0.270836313	0.931034483	0.68877551	1.549794677
40	2.490740741	0.055555556	0.018518519	0.046296296	0.018518519	0.037037037	0.018518519	0.194444444	0.046296296	0.166666667	0.287037037	0.064814815	0.101851852	0.018518519	0.101851852	5.157407407	0.111111111	0.0	0.092592593	7.175925926	13.27777778	0.592592593	727.2276301235217	395.036851808215	205.7962963	45.43518519	108	13.26202628	10.91967821	0.567491403	0.892561983	0.593406593	-1.330356421
41	4.448275862	0.137931034	0.034482759	0.034482759	0.0	0.034482759	0.0	0.689655172	0.068965517	0.068965517	13.93103448	0.068965517	0.172413793	0.275862069	0.0	0.068965517	0.0	0.034482759	0.0	8.448275862	13.34482759	0.413793103	684.9781908089152	437.29325824442077	104.0344828	47.48275862	29	7.471013403	5.201608333	0.717810374	0.878787879	0.604166667	-1.363833531
42	0.47761194	0.0	0.029850746	0.044776119	0.0	0.029850746	0.059701493	0.52238806	0.074626866	0.074626866	0.089552239	0.014925373	0.104477612	0.0	0.029850746	0.268656716	0.074626866	0.0	0.029850746	5.71641791	9.611940299	0.671641791	718.2153511051117	407.32625380641196	180.2238806	49.89552239	67	13.550889	7.064294764	0.853363736	0.8375	0.507575758	0.851103248
43	3.426829268	0.024390244	0.0	0.012195122	0.024390244	0.024390244	0.048780488	2.073170732	0.085365854	0.195121951	0.402439024	0.06097561	0.304878049	1.5	0.036585366	3.170731707	0.207317073	0.012195122	2.768292683	12.92682927	20.26829268	0.902439024	703.9901710434001	421.86190850034734	145.597561	50.96341463	82	10.59818322	9.867039319	0.364987711	0.976190476	0.82	1.165389071
44	5.24	0.066666667	0.026666667	0.0	0.08	0.04	0.066666667	3.706666667	0.2	0.053333333	0.28	0.12	0.133333333	3.506666667	0.04	6.493333333	0.16	0.013333333	0.053333333	13.08	21.22666667	0.866666667	751.8451837679547	375.6889612560835	258.8666667	50.72	75	10.36636143	9.307328995	0.440322826	0.925925926	0.681818182	-0.803559571
45	3.740740741	0.086419753	0.0	0.0	0.049382716	0.012345679	0.024691358	2.259259259	0.172839506	0.049382716	0.086419753	0.061728395	0.197530864	1.62962963	0.012345679	12.12345679	0.481481481	0.012345679	2.296296296	14.60493827	26.32098765	0.75308642	765.3487042927059	364.2304471976994	288.9753086	52.58024691	81	10.36666962	9.954197099	0.279273269	0.964285714	0.736363636	1.007332576
46	3.299270073	0.02189781	0.02189781	0.0	0.02189781	0.02189781	0.02189781	0.116788321	0.248175182	0.248175182	0.160583942	0.131386861	0.116788321	0.051094891	0.080291971	6.656934307	0.204379562	0.04379562	0.051094891	6.554744526	11.94160584	0.671532847	691.4118549276274	439.0090416743073	109.9124088	57.18248175	137	13.37767127	13.05361869	0.21876931	0.985611511	0.810650888	0.970328472
47	2.524193548	0.024193548	0.032258065	0.016129032	0.040322581	0.056451613	0.10483871	0.120967742	0.137096774	0.193548387	0.072580645	0.096774194	0.14516129	0.016129032	0.056451613	5.532258065	0.153225806	0.024193548	0.040322581	7.975806452	13.52419355	0.588709677	671.7008242005368	461.3620873298117	59.32258065	61.37903226	124	13.69941762	11.58312691	0.533944292	0.96875	0.738095238	-0.516951148
48	4.927710843	0.048192771	0.012048193	0.012048193	0.024096386	0.0	0.036144578	2.530120482	0.204819277	0.036144578	0.072289157	0.192771084	0.204819277	1.43373494	0.120481928	14.21686747	0.469879518	0.0	0.012048193	11.63855422	19.89156627	0.746987952	739.6389049453869	396.73616444097894	219.0361446	62.1686747	83	11.385382	9.356041335	0.569835039	0.954022989	0.754545455	0.514100162
49	2.190082645	0.024793388	0.049586777	0.074380165	0.0	0.107438017	0.066115702	0.090909091	0.190082645	0.140495868	0.049586777	0.05785124	0.024793388	0.082644628	0.024793388	5.049586777	0.165289256	0.041322314	0.024793388	6.909090909	11.7768595	1.041322314	758.4510346489465	378.5931286677475	263.553719	62.08264463	121	12.70829404	12.38354042	0.224623896	0.909774436	0.617346939	-0.460616693
50	2.487603306	0.016528926	0.0	0.033057851	0.0	0.041322314	0.016528926	0.132231405	0.173553719	0.148760331	0.140495868	0.198347107	0.132231405	0.049586777	0.049586777	5.132231405	0.123966942	0.016528926	0.033057851	7.73553719	14.03305785	0.859504132	725.9726840668787	410.569142230295	185.9256198	63.03305785	121	13.21142833	11.7056217	0.463642396	0.975806452	0.775641026	-1.349732515
51	1.975409836	0.016393443	0.016393443	0.024590164	0.024590164	0.040983607	0.0	0.098360656	0.278688525	0.155737705	0.090163934	0.057377049	0.049180328	0.032786885	0.06557377	4.37704918	0.270491803	0.008196721	0.073770492	7.43442623	12.0	0.647540984	719.8366854996164	417.18452559186585	170.5819672	63.91803279	122	13.12422772	11.92044579	0.418367403	0.960629921	0.67032967	0.268604555
52	2.315789474	0.01754386	0.026315789	0.026315789	0.026315789	0.035087719	0.01754386	0.140350877	0.236842105	0.087719298	0.043859649	0.149122807	0.061403509	0.035087719	0.01754386	4.456140351	0.201754386	0.052631579	0.078947368	9.605263158	16.74561404	0.763157895	736.47272655179	402.36147317849554	208.5087719	65.34210526	114	12.98534629	11.6482794	0.441964311	0.93442623	0.730769231	0.29436415
53	4.378787879	0.060606061	0.03030303	0.045454545	0.045454545	0.060606061	0.196969697	4.833333333	0.257575758	0.090909091	0.166666667	0.090909091	0.5	1.939393939	0.136363636	4.151515152	0.166666667	0.03030303	2.227272727	11.18181818	19.78787879	0.893939394	658.7622485396796	480.3050064867431	21.07575758	69.37878788	66	9.67976369	8.747612477	0.428164031	0.985074627	0.733333333	0.319098967
54	2.690265487	0.026548673	0.026548673	0.026548673	0.026548673	0.061946903	0.053097345	0.168141593	0.168141593	0.115044248	0.03539823	0.115044248	0.097345133	0.079646018	0.026548673	5.82300885	0.230088496	0.026548673	0.017699115	8.115044248	13.40707965	0.716814159	756.7090374163929	386.1431435471549	252.5044248	69.30088496	113	12.84166325	11.24688496	0.482652093	0.974137931	0.724358974	0.484666064
55	2.387596899	0.015503876	0.015503876	0.015503876	0.007751938	0.031007752	0.007751938	0.108527132	0.11627907	0.178294574	0.100775194	0.19379845	0.240310078	0.015503876	0.046511628	4.565891473	0.201550388	0.007751938	0.062015504	7.682170543	12.79069767	0.682170543	678.8683974930781	462.75044782882827	66.48837209	71.54263566	129	14.6612477	11.63366447	0.608573415	0.948529412	0.661538462	-1.263250683
56	6.1625	0.125	0.0	0.0125	0.0125	0.6	0.0625	12.825	1.475	5.9875	0.2875	1.7625	0.2375	0.05	0.0125	4.4375	0.3375	0.025	0.475	16.6875	28.1	0.875	673.4704883070641	469.3669647595319	52.05	73.3	80	11.15862065	9.187229458	0.567562657	0.975609756	0.727272727	-1.11552615
57	5.640449438	0.04494382	0.033707865	0.0	0.02247191	0.033707865	0.02247191	1.606741573	0.123595506	0.191011236	0.06741573	0.303370787	0.325842697	0.112359551	0.056179775	13.94382022	0.516853933	0.02247191	0.123595506	8.370786517	13.85393258	1.438202247	717.1423925029123	427.43197673480415	155.1797753	73.3258427	89	10.97168234	10.37778587	0.324545563	0.967391304	0.741666667	1.48837913
58	2.803571429	0.008928571	0.026785714	0.026785714	0.017857143	0.008928571	0.071428571	0.098214286	0.160714286	0.071428571	0.080357143	0.178571429	0.125	0.080357143	0.053571429	5.875	0.214285714	0.026785714	0.053571429	7.473214286	12.76785714	0.848214286	730.6416006796517	416.9018994450772	184.1875	76.32142857	112	12.38501993	11.63596666	0.342495652	0.98245614	0.717948718	1.018585183
59	2.829787234	0.031914894	0.010638298	0.010638298	0.021276596	0.010638298	0.095744681	0.20212766	0.265957447	0.074468085	0.085106383	0.255319149	0.138297872	0.021276596	0.021276596	6.808510638	0.255319149	0.053191489	0.031914894	8.563829787	14.77659574	0.776595745	756.0237485362122	393.2946346482671	243.2234043	77.27659574	94	12.40409316	10.01429234	0.590089654	0.949494949	0.657342657	-0.059899031
60	2.520547945	1.98630137	0.0	0.01369863	0.04109589	0.123287671	0.04109589	0.493150685	0.123287671	0.136986301	9.616438356	0.219178082	0.150684932	0.068493151	0.082191781	0.726027397	0.136986301	0.0	0.02739726	14.75342466	24.23287671	0.904109589	667.342826026055	479.8050945400715	32.20547945	78.89041096	73	10.13176512	9.300915428	0.396590653	0.948051948	0.73	1.493877855
61	2.097560976	1.158536585	0.06097561	0.012195122	0.012195122	0.024390244	0.036585366	0.353658537	0.109756098	0.146341463	5.707317073	0.317073171	0.341463415	0.036585366	0.097560976	0.268292683	0.12195122	0.012195122	0.024390244	12.87804878	22.14634146	0.817073171	753.4357922232466	399.12988283761837	233.1585366	81.3902439	82	10.62651787	10.224041	0.272607839	0.911111111	0.67768595	-0.968832396
62	3.294871795	0.064102564	0.025641026	0.025641026	0.025641026	0.012820513	0.051282051	2.41025641	0.166666667	0.064102564	0.128205128	0.038461538	0.153846154	1.307692308	0.051282051	6.538461538	0.243589744	0.012820513	1.807692308	12.58974359	21.24358974	0.794871795	737.4941635365922	415.0459455465918	194.7948718	82.12820513	78	10.62445054	9.447843541	0.457412197	0.962962963	0.709090909	-0.176935141
63	2.072289157	2.072289157	0.024096386	0.060240964	0.036144578	0.13253012	0.036144578	0.409638554	0.144578313	0.036144578	7.746987952	0.289156627	0.192771084	0.036144578	0.024096386	0.072289157	0.084337349	0.0	0.036144578	13.34939759	21.04819277	0.927710843	694.5295643038064	457.20875144779785	92.26506024	83.21686747	83	10.58025174	10.04632501	0.313659471	0.954022989	0.754545455	-0.607246967
64	2.290697674	0.046511628	0.0	0.034883721	0.034883721	0.069767442	0.069767442	0.046511628	0.197674419	0.104651163	0.081395349	0.162790698	0.069767442	0.023255814	0.0	5.790697674	0.162790698	0.011627907	0.046511628	7.76744186	12.54651163	0.744186047	673.4214593224583	480.46328052947416	38.89534884	86.87209302	86	12.35972409	9.256562452	0.662649641	0.924731183	0.716666667	-0.546896358
65	2.659793814	0.092783505	0.0	0.010309278	0.072164948	0.030927835	0.020618557	0.680412371	0.103092784	0.092783505	15.06185567	0.298969072	0.175257732	0.020618557	0.030927835	0.195876289	0.0	0.010309278	0.051546392	15.64948454	28.62886598	0.701030928	712.7783248914724	442.69813387912336	131.8041237	86.92783505	97	11.34952459	10.85881057	0.290867076	0.97979798	0.801652893	0.556365677
66	2.555555556	0.037037037	0.037037037	0.014814815	0.022222222	0.014814815	0.022222222	0.051851852	0.148148148	0.140740741	0.096296296	0.177777778	0.118518519	0.051851852	0.103703704	4.755555556	0.162962963	0.02962963	0.111111111	7.422222222	12.07407407	0.822222222	730.6507055742197	426.00884529124767	173.4518519	87.51851852	135	14.17999846	12.26179968	0.50224557	0.992647059	0.865384615	-1.036144869
67	2.884892086	0.035971223	0.050359712	0.021582734	0.0	0.057553957	0.028776978	0.071942446	0.223021583	0.223021583	0.115107914	0.151079137	0.165467626	0.064748201	0.043165468	6.582733813	0.230215827	0.028776978	0.021582734	7.352517986	12.5323741	0.71942446	805.1786342277445	354.9885347338095	348.8057554	88.23021583	139	13.95175621	12.73686575	0.408133982	0.95862069	0.709183673	1.085555289
68	5.448717949	0.141025641	0.025641026	0.025641026	0.0	0.08974359	0.08974359	2.705128205	0.230769231	0.08974359	0.192307692	0.358974359	0.282051282	0.038461538	0.115384615	13.56410256	0.5	0.025641026	0.128205128	7.230769231	12.5	0.58974359	682.8165638960309	474.4117111701567	57.57692308	90.52564103	78	10.43394821	9.497737518	0.414009338	0.975	0.78	-0.962721621
69	2.917355372	0.066115702	0.0	0.0	0.024793388	0.016528926	0.049586777	0.082644628	0.132231405	0.140495868	0.223140496	0.090909091	0.066115702	0.041322314	0.016528926	4.487603306	0.214876033	0.008264463	0.049586777	8.148760331	14.62809917	1.041322314	705.0936959408294	453.12017710574247	110.0661157	90.66115702	121	13.73613598	11.48581697	0.548462348	0.9453125	0.664835165	0.867735099
70	5.684210526	0.122807018	0.01754386	0.0	0.087719298	0.035087719	0.087719298	2.947368421	0.140350877	0.140350877	0.105263158	0.403508772	0.315789474	1.842105263	0.01754386	16.1754386	0.403508772	0.035087719	0.122807018	13.47368421	25.03508772	0.842105263	689.6354657084764	468.618256591447	72.78947368	91.45614035	57	9.143813483	7.925190834	0.498782673	0.95	0.791666667	1.227731678
71	0.5	0.035714286	0.0	0.035714286	0.071428571	0.035714286	0.071428571	0.75	0.071428571	0.0	0.035714286	0.035714286	0.107142857	0.0	0.0	0.857142857	0.071428571	0.0	0.0	4.714285714	8.642857143	1.071428571	812.9619199042307	352.12108395384905	361.75	93.89285714	28	9.050716641	4.040968477	0.894793364	0.933333333	0.622222222	1.240083705
72	5.776595745	0.053191489	0.010638298	0.010638298	0.053191489	0.053191489	0.0	4.138297872	10.64893617	5.691489362	0.244680851	0.521276596	0.244680851	0.095744681	0.031914894	8.510638298	0.361702128	0.063829787	0.414893617	18.18085106	31.56382979	0.829787234	671.5068941882787	488.2441139347178	27.36170213	94.17021277	94	11.69922353	10.42792254	0.453346071	0.921568627	0.652777778	-0.491753928
73	6.725806452	0.129032258	0.048387097	0.0	0.016129032	0.032258065	0.016129032	2.64516129	0.177419355	0.306451613	0.225806452	0.612903226	0.338709677	0.096774194	0.048387097	13.9516129	0.35483871	0.080645161	0.129032258	9.048387097	13.93548387	0.903225806	689.4146080915452	473.8821279986927	66.30645161	97.66129032	62	10.74178436	8.031294162	0.664072107	0.885714286	0.574074074	1.142958641
74	2.580645161	0.016129032	0.016129032	0.0	0.008064516	0.064516129	0.032258065	0.129032258	0.129032258	0.14516129	0.064516129	0.193548387	0.241935484	0.024193548	0.056451613	6.532258065	0.233870968	0.048387097	0.024193548	7.483870968	12.95967742	0.661290323	791.7579210967627	374.2927759378604	309.5403226	96.10483871	124	12.6708788	12.53724218	0.144852582	0.946564885	0.733727811	0.43490456
75	5.271604938	0.086419753	0.037037037	0.012345679	0.0	0.0	0.12345679	6.432098765	11.97530864	5.111111111	0.074074074	0.37037037	0.172839506	0.037037037	0.074074074	4.407407407	0.209876543	0.012345679	0.604938272	14.41975309	24.02469136	0.777777778	778.5285761887926	387.21851009859137	278.037037	96.37037037	81	10.58326347	9.965373215	0.336687948	0.920454545	0.669421488	0.847790069
76	2.330188679	0.028301887	0.037735849	0.028301887	0.009433962	0.028301887	0.009433962	0.094339623	0.150943396	0.103773585	0.094339623	0.075471698	0.018867925	0.08490566	0.047169811	4.0	0.103773585	0.047169811	0.018867925	7.320754717	12.51886792	0.981132075	739.9226334171715	425.8340083219902	185.0471698	98.24528302	106	12.47501668	10.98447804	0.474012519	0.938053097	0.736111111	0.670297043
77	2.623762376	0.02970297	0.0	0.01980198	0.00990099	0.0	0.01980198	0.128712871	0.168316832	0.306930693	0.069306931	0.148514851	0.207920792	0.00990099	0.0	6.603960396	0.277227723	0.0	0.079207921	9.02970297	16.10891089	1.03960396	784.1018821283794	383.352092985891	289.4455446	98.1980198	101	12.96807414	10.43536254	0.59368654	0.855932203	0.647435897	0.88891187
78	2.541666667	0.058333333	0.008333333	0.058333333	0.025	0.008333333	0.041666667	0.141666667	0.108333333	0.3	0.208333333	0.216666667	0.25	0.058333333	0.041666667	4.6	0.141666667	0.025	0.058333333	9.475	14.08333333	0.783333333	705.032951949106	460.0758406917256	101.7833333	99.13333333	120	13.77046889	11.52411808	0.547398822	0.930232558	0.659340659	0.863741799
79	2.368	0.032	0.04	0.024	0.056	0.04	0.016	0.112	0.2	0.096	0.088	0.184	0.256	0.024	0.008	4.704	0.136	0.04	0.016	7.792	12.544	0.792	760.4293889720003	407.2488851228144	232.168	99.616	125	13.53081031	11.85893302	0.481512481	0.946969697	0.637755102	-1.090259175
